Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date
Bellingen,LGA,10600,New South Wales,AGRN 871 - NSW Bushfires (31 August 2019 onwards),871,1,1,1,1,C/D,0,1,Bushfire,2019-08-31
Bellingen,LGA,10600,New South Wales,NSW Storms and Floods: 15 January 2020 onwards,898,1,1,0,0,A/B,0,0,"Flood, Storm",2020-01-15
Bellingen,LGA,10600,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Bellingen,LGA,10600,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bellingen,LGA,10600,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bellingen,LGA,10600,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 6 March 2025),1198,1,1,1,1,C/D,1,1,Cyclone,2025-03-06
Bellingen,LGA,10600,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,1,1,Storm,2025-05-18
Bellingen,LGA,10600,New South Wales,AGRN 1260 - NSW Severe Weather Event (from 14 January 2026),1260,1,1,0,0,A/B,0,0,Storm,2026-01-14
Berrigan,LGA,10650,New South Wales,New South Wales-floods: 29 November to 28 February 2011,421,0,0,0,0,unknown,0,0,Flood,2010-11-29
Berrigan,LGA,10650,New South Wales,New South Wales floods: February 2011,430,0,0,0,0,unknown,0,0,Flood,2011-02-04
Berrigan,LGA,10650,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Berrigan,LGA,10650,New South Wales,State-wide bushfires: January 2013,538,0,0,0,0,unknown,0,0,Bushfire,2013-01-01
Berrigan,LGA,10650,New South Wales,South Western NSW severe storms: 21 March 2013,556,0,0,0,0,unknown,0,0,Storm,2013-03-21
Berrigan,LGA,10650,New South Wales,NSW Inland Storms and Floods (from 30 August 2016),731,0,0,0,0,unknown,0,0,"Flood, Rainfall, Storm",2016-08-30
Berrigan,LGA,10650,New South Wales,Berrigan Shire Storms - 29 June 2019 onwards,911,1,1,0,0,A/B,0,0,Storm,2019-06-29
Berrigan,LGA,10650,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09
Berrigan,LGA,10650,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Berrigan,LGA,10650,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Blacktown,LGA,10750,New South Wales,Southern New South Wales flooding: February to March 2012,479,0,0,0,0,unknown,0,0,Flood,2012-02-28
Blacktown,LGA,10750,New South Wales,Western Sydney bushfires: from 10 September 2013,614,0,0,0,0,unknown,0,0,Bushfire,2013-09-10
Blacktown,LGA,10750,New South Wales,Eastern NSW severe thunderstorms: 13 October 2014,651,0,0,0,0,unknown,0,0,Thunderstorm,2014-10-13
Blacktown,LGA,10750,New South Wales,East Coast Storms and Floods: 14 to 15 January 2016,699,0,0,0,0,unknown,0,0,"Flood, Storm, Weather event",2016-01-14
