id,title,category,year,decade,start_date,end_date,lat,lon,regions,deaths,injuries,evacuated,homeless,insured_cost,homes_destroyed,buildings_destroyed,impact_score,url
95,Environmental - Eastern Australia Drought,Environmental,1982,1980,4/1/1982 0:00,3/1/1983 0:00,-28.92163086,145.612793,Tasmania;Queensland;New South Wales;Australian Capital Territory;Northern Territory;South Australia;Western Australia;Victoria,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=95
102,Environmental - Drought 1918,Environmental,1918,1910,1/1/1918 0:00,1/2/1920 0:00,-28.13012886,137.2961426,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=102
103,Bushfire - Central and Southern Victoria,Bushfire,1952,1950,1/1/1952 0:00,3/1/1952 0:00,-36.68604279,147.1508789,Victoria,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,http://www.emknowledge.gov.au/resource/?id=103
107,"Flood - Melbourne, Yarra Valley",Flood,1934,1930,11/30/1934 0:00,12/2/1934 0:00,-37.81361008,144.9630585,Victoria,36.0,0.0,0.0,0.0,0.0,400.0,0.0,1160.0,http://www.emknowledge.gov.au/resource/?id=107
114,Flood - Eastern Australia,Flood,1974,1970,1/25/1974 0:00,4/1/1974 0:00,-27.47084808,153.0234222,Tasmania;Queensland;New South Wales;South Australia;Victoria,14.0,0.0,0.0,0.0,68000000.0,0.0,0.0,140.0,http://www.emknowledge.gov.au/resource/?id=114
117,Flood - Melbourne and Central Victoria,Flood,1999,1990,12/26/1999 0:00,12/28/1999 0:00,-37.73792267,144.9650879,Victoria,0.0,0.0,0.0,100.0,10000000.0,0.0,0.0,20.0,http://www.emknowledge.gov.au/resource/?id=117
118,Severe Storm - Illawarra and Sydney,Severe Storm,1996,1990,8/31/1996 0:00,8/31/1996 0:00,-34.23423004,150.9191895,New South Wales,0.0,0.0,0.0,0.0,10000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=118
122,Flood - Gulf Country,Flood,1990,1990,12/23/1990 0:00,1/7/1991 0:00,-18.16151047,139.9163818,Queensland,6.0,0.0,0.0,0.0,32000000.0,0.0,0.0,60.0,http://www.emknowledge.gov.au/resource/?id=122
123,Bushfire - Warenda Station Hughenden,Bushfire,1917,1910,9/29/1917 0:00,9/29/1917 0:00,-20.82608414,144.2017365,Queensland,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,http://www.emknowledge.gov.au/resource/?id=123
125,Bushfire - Widespread Victoria,Bushfire,1906,1900,1/1/1906 0:00,2/15/1906 0:00,-38.60105896,146.3005219,Victoria,12.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,http://www.emknowledge.gov.au/resource/?id=125
127,Flood - North and Central Queensland,Flood,2000,2000,2/5/2000 0:00,2/28/2000 0:00,-16.92339897,145.7738495,Queensland,0.0,10.0,0.0,0.0,12000000.0,0.0,0.0,20.0,http://www.emknowledge.gov.au/resource/?id=127
128,Cyclone Althea,Cyclone,1971,1970,12/24/1971 0:00,12/27/1971 0:00,-19.25200272,146.8206024,Queensland,3.0,25.0,0.0,0.0,25000000.0,0.0,0.0,80.0,http://www.emknowledge.gov.au/resource/?id=128
129,Bushfire - Australian Capital Territory and South-West New South Wales,Bushfire,1951,1950,10/26/1951 0:00,1/31/1952 0:00,-35.11680222,147.3616333,New South Wales,13.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,http://www.emknowledge.gov.au/resource/?id=129
130,Severe Storm - Cape York and Townsville,Severe Storm,1934,1930,3/12/1934 0:00,3/13/1934 0:00,-16.07979584,145.4644775,Queensland,75.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,http://www.emknowledge.gov.au/resource/?id=130
131,Bushfire - Ash Wednesday,Bushfire,1983,1980,2/16/1983 0:00,2/18/1983 0:00,-37.40233612,144.5871124,Victoria;South Australia,75.0,1500.0,0.0,9000.0,176000000.0,2000.0,0.0,9550.0,http://www.emknowledge.gov.au/resource/?id=131
132,Flood - Burdekin River,Flood,1940,1940,4/7/1940 0:00,4/9/1940 0:00,-20.61478996,146.9641113,Queensland,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,http://www.emknowledge.gov.au/resource/?id=132
133,"Flood - Gympie, Southern Queensland, and Eastern New South Wales",Flood,1989,1980,4/25/1989 0:00,4/30/1989 0:00,-26.1891,152.66593,Queensland,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,http://www.emknowledge.gov.au/resource/?id=133
136,"Severe Storm - Sydney, Hunter Valley and Northern Regions",Severe Storm,2001,2000,12/3/2001 0:00,12/3/2001 0:00,-33.59631729,150.7569733,New South Wales,2.0,0.0,0.0,0.0,30000000.0,0.0,0.0,20.0,http://www.emknowledge.gov.au/resource/?id=136
140,Bushfire - Lara and Melbourne Fringe,Bushfire,1969,1960,1/8/1969 0:00,1/9/1969 0:00,-38.0235939,144.4078674,Victoria,23.0,100.0,0.0,800.0,0.0,230.0,21.0,1092.0,http://www.emknowledge.gov.au/resource/?id=140
150,Severe Storm - Kosciuszko NP,Severe Storm,1999,1990,8/7/1999 0:00,8/11/1999 0:00,-36.33946609,148.5736084,New South Wales,4.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,http://www.emknowledge.gov.au/resource/?id=150
151,Bushfire - Blue Mountains and Illawarra,Bushfire,1968,1960,10/15/1968 0:00,12/3/1968 0:00,-33.59318924,150.5356445,New South Wales,14.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,http://www.emknowledge.gov.au/resource/?id=151
152,Environmental - Tasmania and Victoria Drought,Environmental,1996,1990,10/1/1996 0:00,9/30/2000 0:00,-38.33088303,141.6000366,Tasmania;Victoria;South Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=152
154,Bushfire - Black Tuesday Tasmania,Bushfire,1967,1960,2/7/1967 0:00,2/7/1967 0:00,-43.16512299,146.2417603,Tasmania,62.0,0.0,0.0,0.0,14000000.0,1400.0,0.0,3420.0,http://www.emknowledge.gov.au/resource/?id=154
158,Environmental - Drought 1913,Environmental,1913,1910,1/1/1913 0:00,12/31/1915 0:00,-35.33641434,143.5621185,Northern Territory;Queensland;New South Wales;Australian Capital Territory;South Australia;Western Australia;Tasmania;Victoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=158
173,Severe Storm - Ipswich,Severe Storm,1998,1990,4/10/1998 0:00,4/10/1998 0:00,-27.61335373,152.7585449,Queensland,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,http://www.emknowledge.gov.au/resource/?id=173
177,Cyclone Joan,Cyclone,1975,1970,12/8/1975 0:00,12/9/1975 0:00,-13.41099358,125.859375,Western Australia,0.0,0.0,0.0,20.0,20000000.0,0.0,0.0,4.0,http://www.emknowledge.gov.au/resource/?id=177
180,Hail - Toowoomba,Hail,1976,1970,1/9/1976 0:00,1/9/1976 0:00,-27.56375313,151.9540558,Queensland,0.0,0.0,0.0,0.0,12000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=180
181,"Flood - Sydney,  North Coast, and North Western Districts",Flood,1950,1950,1/16/1950 0:00,1/19/1950 0:00,-28.32561302,153.395401,New South Wales,10.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,http://www.emknowledge.gov.au/resource/?id=181
186,"Flood - Brisbane, Sunshine Coast, and Gold Coast",Flood,2001,2000,3/9/2001 0:00,3/11/2001 0:00,-27.96529579,153.3924866,Queensland,2.0,0.0,50.0,0.0,37000000.0,0.0,0.0,22.5,http://www.emknowledge.gov.au/resource/?id=186
188,Severe Storm - Adelaide,Severe Storm,1986,1980,12/6/1986 0:00,12/8/1986 0:00,-34.92745972,138.5999908,South Australia,0.0,0.0,0.0,50.0,10000000.0,0.0,0.0,10.0,http://www.emknowledge.gov.au/resource/?id=188
191,Severe Storm - Western Sydney,Severe Storm,1976,1970,11/9/1976 0:00,11/9/1976 0:00,-33.85551834,150.862793,New South Wales,0.0,10.0,0.0,0.0,732000000.0,0.0,0.0,20.0,http://www.emknowledge.gov.au/resource/?id=191
192,Hail - Singleton,Hail,1996,1990,12/11/1996 0:00,12/11/1996 0:00,-32.56196976,151.1753235,New South Wales,0.0,0.0,0.0,0.0,49000000.0,0.0,0.0,0.0,http://www.emknowledge.gov.au/resource/?id=192
